company,sector,pageUrl,Description,investmentStart,investmentEnd,returnTime,averageCompanyBilling,totalUnits,contact,workStyle,site,perfilFranqueado,seleção,state,cnpj,society,companySize,dateOfOpening,principalActivity,secondaryActivity,companyStatus,dateOfStatus,totalFuncionarios,totalArea,faturamentoMedio,capitalInstalacao,taxaFranquia,taxaPropaganda,taxaRoyalties,beneficiosFranqueado,capital_needed,prazo,features
billy the grill,1,https://franquias.portaldofranchising.com.br/franquia-billy-the-grill-alimentacao/,conheca a franquia billy the grill no portal do franchising rede de servico de alimentacao com oferta de refeicoes rapidas,470000.0,550000.0,24,175000,42.0,(21) 99535-7498,2,https://www.billythegrill.com.br/," idoneo e responsavel
 dinamico empreendedor persistente e flexivel
 capacidade de lideranca
 facilidade no tratamento com o publico
 capacidade de integracao de equipes
 nao ser um homem de gabinete
 estar disposto a desenvolver e aprimorar em conjunto com a franqueadora um sistema operacional de qualidade
 ter disponibilidade direta e pessoal para administrar e operar a unidade franqueada
 possuir suporte financeiro condizente com o nivel de investimento para iniciar e sustentar a operacao
 ter idade minima de 21 anos"," cadastro pelo site ou portal do franchising
 recebimento da apresentacao comercial e ficha de cadastro
 avaliacao da ficha de cadastro
 reuniao na matriz do grupo alento franchising
 recebimento da circular de oferta de franquia cof
 vivencia em loja testdrive e avaliacao
 assinatura do precontrato
 reuniao de boas vindas
 avaliacao do ponto comercial e assinatura de contrato de locacao
 projeto arquitetonico e obra civil
 abertura da empresa
 capacitacao do franqueado e 1a equipe
 inauguracao",6,19201517000177,2,1,04/11/2013,5611201  restaurantes e similares,5611203  lanchonetes casas de cha de sucos e similares,1,04/11/2013,de 13 a 18,de 30 a 50 m²,135000,435000.0,45000.0,Taxa de Propaganda: 2% sobre o faturamento bruto,Taxa de Royalties: 5% sobre o faturamento bruto," apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

",1,3,"conheca a franquia billy the grill no portal do franchising rede de servico de alimentacao com oferta de refeicoes rapidas  idoneo e responsavel
 dinamico empreendedor persistente e flexivel
 capacidade de lideranca
 facilidade no tratamento com o publico
 capacidade de integracao de equipes
 nao ser um homem de gabinete
 estar disposto a desenvolver e aprimorar em conjunto com a franqueadora um sistema operacional de qualidade
 ter disponibilidade direta e pessoal para administrar e operar a unidade franqueada
 possuir suporte financeiro condizente com o nivel de investimento para iniciar e sustentar a operacao
 ter idade minima de 21 anos  cadastro pelo site ou portal do franchising
 recebimento da apresentacao comercial e ficha de cadastro
 avaliacao da ficha de cadastro
 reuniao na matriz do grupo alento franchising
 recebimento da circular de oferta de franquia cof
 vivencia em loja testdrive e avaliacao
 assinatura do precontrato
 reuniao de boas vindas
 avaliacao do ponto comercial e assinatura de contrato de locacao
 projeto arquitetonico e obra civil
 abertura da empresa
 capacitacao do franqueado e 1a equipe
 inauguracao  apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

 5611201  restaurantes e similares 5611203  lanchonetes casas de cha de sucos e similares"
acai da barra,13,https://franquias.portaldofranchising.com.br/franquia-acai-da-barra/,acai da barra e uma rede self service de acai produtos com fabricacao propria um negocio cheio de energia e sabor saiba mais no portal do franchising,16000.0,390000.0,16,0,136.0,(14) 3438-3151,2,https://acaidabarra.com.br/, lideranca comprometimento capacidade de motivar pessoas foco em resultados organizacao saber gerenciar conflitos bom relacionamento identificacao com o segmento disponibilidade para gestao do negocio disponibilidade de capital,contato inicial preenchimento da ficha de prequalificacao reuniao assinatura cof assinatura precontrato pagamento da taxa aprovacao do ponto comercial inicio da implantacao treinamentos,11,27857698000112,2,0,30/05/2017,1053800  fabricacao de sorvetes e outros gelados comestiveis,1033301  fabricacao de sucos concentrados de frutas hortalicas e legumes,1,30/05/2017,de 4 a 10,de 100 a 500 m²,215000.0,185000.0,30000.0,"0% VARIÁVEL SOBRE VENDAS BRUTAS - DE R$400,00 A R$800,00",0% VARIÁVEL SOBRE COMPAS,"
conheca alguns termos importantes na hora de comprar sua franquia

royalties remuneracao do franqueador em contra partida a cessao e manutencao dos direitos da franquia ao franqueado

taxa de marketing tambem chamada de taxa de propaganda ou de publicidade ela e cobrada dos franqueados para que se forme um fundo a ser gerenciado pela franqueadora para uso em campanhas de divulgacao nacional regional ou local

cof  circular de oferta de franquia documento obrigatorio pela lei de franquias 8955 que contem todos os dados e informacoes necessarias para o candidato a franqueado poder analisar a oportunidade de investimento em determinada franquia

saiba tudo sobre o modelo de franquias para expandir negocios

",2,3,"acai da barra e uma rede self service de acai produtos com fabricacao propria um negocio cheio de energia e sabor saiba mais no portal do franchising  lideranca comprometimento capacidade de motivar pessoas foco em resultados organizacao saber gerenciar conflitos bom relacionamento identificacao com o segmento disponibilidade para gestao do negocio disponibilidade de capital contato inicial preenchimento da ficha de prequalificacao reuniao assinatura cof assinatura precontrato pagamento da taxa aprovacao do ponto comercial inicio da implantacao treinamentos 
conheca alguns termos importantes na hora de comprar sua franquia

royalties remuneracao do franqueador em contra partida a cessao e manutencao dos direitos da franquia ao franqueado

taxa de marketing tambem chamada de taxa de propaganda ou de publicidade ela e cobrada dos franqueados para que se forme um fundo a ser gerenciado pela franqueadora para uso em campanhas de divulgacao nacional regional ou local

cof  circular de oferta de franquia documento obrigatorio pela lei de franquias 8955 que contem todos os dados e informacoes necessarias para o candidato a franqueado poder analisar a oportunidade de investimento em determinada franquia

saiba tudo sobre o modelo de franquias para expandir negocios

 1053800  fabricacao de sorvetes e outros gelados comestiveis 1033301  fabricacao de sucos concentrados de frutas hortalicas e legumes"
casa do construtor,4,https://franquias.portaldofranchising.com.br/franquia-casa-do-construtor-construcao/,invista em uma franquia casa do construtor rede brasileira especializada na locacao de equipamentos para construcao civil acesse o portal do franchising,470000.0,700000.0,36,90000,398.0,(19) 2111-8311,2,https://casadoconstrutor.com/franquia/,"a jovens empreendedores mas que sentem a necessidade de suporte e experiencia para gerir seu proprio negocio

b profissionais da construcao civil engenheiros arquitetos etc tecnicos mestres de obras e profissionais do ramo da construcao civil que queiram ter o seu proprio negocio mas com a experiencia de quem ja esta no ramo outros requisitos  a espirito empreendedor e
 essencial que o franqueado possua empenho de empreendedor na conducao 
de seu negocio estar disposto a assumir riscos tendo disposicao para o
 trabalho ter habilidade em delegar tarefas b facilidade de comunicacao o franqueado devera ser comunicativo e ter facilidade em transmitir informacoes a sua equipe c
 sociabilidade o franqueado deve ter facilidade em trabalhar com o 
publico deve ter habilidade em delegar tarefas e motivar sua equipe d assumir riscos o franqueado deve ter consciencia que mesmo nos negocios formatados ha riscos e preferencialmente morar na cidade de implantacao da franquia f ter idade acima de 18 anos g capacidade de desenvolver habilidades em gestao de negocios h respeito as regras da franqueadora i envolvimento junto a franqueadora de modo a fomentar o crescimento da rede

c proprietarios de pequenas lojas do ramo de equipamentos para construcao civil que estao querendo abrir o leque de atividades afins com ajuda de profissionais do ramo

d empresarios que analisam novos negocios e queiram maximizar suas taxas de sucesso com um knowhow ja adquirido em 27 anos de experiencia no ramo de locacao de equipamentos","conheca abaixo quais sao as etapas do processo de selecao da franquia casa do construtor

atraves de um proposito maior de servir a todos os envolvidos a casa do construtor  solucao em aluguel de equipamentos faz de seu processo de selecao um rito onde proporciona ao candidato o estudo do negocio de maneira clara transparente e objetiva para que ambas as partes possam expor suas expectativas e percepcoes quanto ao envolvido

nosso objetivo inicial e definir o interesse quanto ao territorio para atuacao e tambem o investimento necessario

em paralelo as estas definicoes esclarecemos de forma clara e transparente as nuances sobre o negocio casa do construtor  solucao em aluguel de equipamentos investimento retorno potencial de negocio

a proxima etapa deste processo e o agendamento de uma visita a sede da franqueadora para que possamos neste momento de grande importancia onde candidato e franqueadora tem a oportunidade de um ajuste fino de expectativas quanto ao negocio desafios possibilidades potencial de faturamento entres outras caracteristicas pertinentes ao negocio

tambem a oportunidade do candidato conhecer a sede universidade corporativa e loja ndeg 1 de uma rede de mais de 240 lojas em todo o brasil proporcionando ao mesmo tempo uma gama de informacoes imprescindiveis ao candidato na seu estudo quanto ao negocio e a franqueadora a oportunidade conhecer e entender o perfil do candidato afim de reconhecer no mesmo a sinergia com os valores da casa do construtor",0,3729824000195,2,0,22/03/2000,7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios,7020400  atividades de consultoria em gestao empresarial exceto consultoria tecnica especifica 8299799  outras atividades de servicos prestados principalmente as empresas nao especificadas anteriormente,1,11/12/2004,de 5 a 20,de 300 a 800 m²,90000,557500.0,65000.0,2% FATURAMENTO BRUTO,8% FATURAMENTO BRUTO," apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

",1,2,"invista em uma franquia casa do construtor rede brasileira especializada na locacao de equipamentos para construcao civil acesse o portal do franchising a jovens empreendedores mas que sentem a necessidade de suporte e experiencia para gerir seu proprio negocio

b profissionais da construcao civil engenheiros arquitetos etc tecnicos mestres de obras e profissionais do ramo da construcao civil que queiram ter o seu proprio negocio mas com a experiencia de quem ja esta no ramo outros requisitos  a espirito empreendedor e
 essencial que o franqueado possua empenho de empreendedor na conducao 
de seu negocio estar disposto a assumir riscos tendo disposicao para o
 trabalho ter habilidade em delegar tarefas b facilidade de comunicacao o franqueado devera ser comunicativo e ter facilidade em transmitir informacoes a sua equipe c
 sociabilidade o franqueado deve ter facilidade em trabalhar com o 
publico deve ter habilidade em delegar tarefas e motivar sua equipe d assumir riscos o franqueado deve ter consciencia que mesmo nos negocios formatados ha riscos e preferencialmente morar na cidade de implantacao da franquia f ter idade acima de 18 anos g capacidade de desenvolver habilidades em gestao de negocios h respeito as regras da franqueadora i envolvimento junto a franqueadora de modo a fomentar o crescimento da rede

c proprietarios de pequenas lojas do ramo de equipamentos para construcao civil que estao querendo abrir o leque de atividades afins com ajuda de profissionais do ramo

d empresarios que analisam novos negocios e queiram maximizar suas taxas de sucesso com um knowhow ja adquirido em 27 anos de experiencia no ramo de locacao de equipamentos conheca abaixo quais sao as etapas do processo de selecao da franquia casa do construtor

atraves de um proposito maior de servir a todos os envolvidos a casa do construtor  solucao em aluguel de equipamentos faz de seu processo de selecao um rito onde proporciona ao candidato o estudo do negocio de maneira clara transparente e objetiva para que ambas as partes possam expor suas expectativas e percepcoes quanto ao envolvido

nosso objetivo inicial e definir o interesse quanto ao territorio para atuacao e tambem o investimento necessario

em paralelo as estas definicoes esclarecemos de forma clara e transparente as nuances sobre o negocio casa do construtor  solucao em aluguel de equipamentos investimento retorno potencial de negocio

a proxima etapa deste processo e o agendamento de uma visita a sede da franqueadora para que possamos neste momento de grande importancia onde candidato e franqueadora tem a oportunidade de um ajuste fino de expectativas quanto ao negocio desafios possibilidades potencial de faturamento entres outras caracteristicas pertinentes ao negocio

tambem a oportunidade do candidato conhecer a sede universidade corporativa e loja ndeg 1 de uma rede de mais de 240 lojas em todo o brasil proporcionando ao mesmo tempo uma gama de informacoes imprescindiveis ao candidato na seu estudo quanto ao negocio e a franqueadora a oportunidade conhecer e entender o perfil do candidato afim de reconhecer no mesmo a sinergia com os valores da casa do construtor  apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

 7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios 7020400  atividades de consultoria em gestao empresarial exceto consultoria tecnica especifica 8299799  outras atividades de servicos prestados principalmente as empresas nao especificadas anteriormente"
anjos colchoes,4,https://franquias.portaldofranchising.com.br/franquia-anjos-colchoes-moveis/,abra uma franquia anjos colchoes faca parte deste time e divulgue a qualidade de vida com produtos confortaveis acesse portal do franchising e saiba mais,400000.0,465000.0,8,150000,171.0,(45) 3228-2883,2,https://anjosfranchising.com.br/,"conhecimento em praticas gerenciais preferencialmente com historico de sucesso em outros empreendimentos proprios ou de terceiros
    espirito empreendedor e dinamico
    espirito de lideranca elevado e capacidade para estimular equipes a obter resultados
    habilidade para lidar com conflitos
    facilidade de relacionamento
    capacidade administrativa
    dedicacao ao negocio
    capacidade financeira",apos recebimento dos documentos do franqueado e feito uma avaliacao atraves de documentos pessoais analise de credito e financeira bem como psicologica,4,12480370000152,2,2,27/08/2010,,,3,17/03/2021,de 2 a 3,de 80 a 500 m²,60000,165000.0,20000.0,2% COMPRAS,10% COMPRAS, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na operacao da loja,1,1,"abra uma franquia anjos colchoes faca parte deste time e divulgue a qualidade de vida com produtos confortaveis acesse portal do franchising e saiba mais conhecimento em praticas gerenciais preferencialmente com historico de sucesso em outros empreendimentos proprios ou de terceiros
    espirito empreendedor e dinamico
    espirito de lideranca elevado e capacidade para estimular equipes a obter resultados
    habilidade para lidar com conflitos
    facilidade de relacionamento
    capacidade administrativa
    dedicacao ao negocio
    capacidade financeira apos recebimento dos documentos do franqueado e feito uma avaliacao atraves de documentos pessoais analise de credito e financeira bem como psicologica  apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na operacao da loja  "
colchoes ortobom,13,https://franquias.portaldofranchising.com.br/franquia-colchoes-ortobom-moveis/,invista em uma franquia colchoes ortobom rede de comercializacao de colchao e produtos para o sono acesse ja o portal do franchising e saiba mais,19900.0,49900.0,12,80000,2090.0,(21) 2197-1000,2,https://www.ortobom.com.br/,"
 ser empreendedor estar disposto a seguir as regras do sistema de franquias ter experiencia com vendas e gostar de trabalhar com pessoas","
 cadastro e primeira aprovacao

 aprovacao com gerente de franquia

 documentacao

 escolha de ponto

 projeto e obras

 inauguracao  ",11,12335935000108,2,2,04/08/2010,,,2,12/12/2018,de 8 a 8,de 200 a 200 m²,60000,99000.0,30000.0,0% NÃO COBRA,5%, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,2,1,"invista em uma franquia colchoes ortobom rede de comercializacao de colchao e produtos para o sono acesse ja o portal do franchising e saiba mais 
 ser empreendedor estar disposto a seguir as regras do sistema de franquias ter experiencia com vendas e gostar de trabalhar com pessoas 
 cadastro e primeira aprovacao

 aprovacao com gerente de franquia

 documentacao

 escolha de ponto

 projeto e obras

 inauguracao    apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja  "
clube turismo,6,https://franquias.portaldofranchising.com.br/franquia-clube-turismo-hotelaria-e-turismo/,invista em uma franquia clube turismo um setor em constante crescimento acesse ja o portal do franchising e conheca os beneficios de ser um franqueado,31000.0,56000.0,6,200000,540.0,(83) 3022-4301,0,https://www.franquiaclubeturismo.com.br/," idade minima 22 anos

 escolaridade preferencialmente curso superior completo

 experiencia profissional nao e obrigatorio porem e indicado que o franqueado tenha experiencia em atividades comerciais e importante ter vivenciado experiencias em viagens nacionais e internacionais

 habilidades desejadas boa capacidade de comunicacao verbal e escrita dominio em navegacao web e uso de recursos basicos windows word skype email boa capacidade de argumentacao e persuasao proatividade espirito empreendedor capacidade de gestao comercial financeira capacidade de trabalho em equipe bom relacionamento interpessoal dinamismo autocontrole

 disponibilidade o franqueado da modalidade office possui a liberdade de definicao do tempo de dedicacao ao negocio podendo ser parcial ou integral

 publico alvo do franqueado pessoas do networking do franqueado alem do publico em geral sejam eles pessoas fisicas ou juridicas","1 candidatarse a franquia preenchendo o formulario disponivel no site franquiaclubeturismocombr
2 preencher o formulario complementar enviado para o email do candidato
3 ser preaprovado na analise de documentacao
4 ser aprovado na entrevista realizada pelo setor de expansao da franqueadora  clube turismo
5 apresentar a documentacao necessaria requerida pela franqueadora para a abertura do cadastro do franqueado na modalidade de negocio escolhida
6 formalizar o contrato e efetuar o pagamento da taxa de adesao
7 seguir as instrucoes de implementacao da modalidade de escolha realizar os treinamentos iniciais e continuos",6,30056295000189,2,2,19/12/1972,,,3,12/01/2022,de 1 a 1,de 18 a 18 m²,150000,11800.0,25000.0,"Taxa de propaganda (mês) = Isento / Taxa de website (mês) = R$ 70,00","R$ 300,00 por mês / Valor de aluguel sugerido = R$ 900,00"," apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

",2,1,"invista em uma franquia clube turismo um setor em constante crescimento acesse ja o portal do franchising e conheca os beneficios de ser um franqueado  idade minima 22 anos

 escolaridade preferencialmente curso superior completo

 experiencia profissional nao e obrigatorio porem e indicado que o franqueado tenha experiencia em atividades comerciais e importante ter vivenciado experiencias em viagens nacionais e internacionais

 habilidades desejadas boa capacidade de comunicacao verbal e escrita dominio em navegacao web e uso de recursos basicos windows word skype email boa capacidade de argumentacao e persuasao proatividade espirito empreendedor capacidade de gestao comercial financeira capacidade de trabalho em equipe bom relacionamento interpessoal dinamismo autocontrole

 disponibilidade o franqueado da modalidade office possui a liberdade de definicao do tempo de dedicacao ao negocio podendo ser parcial ou integral

 publico alvo do franqueado pessoas do networking do franqueado alem do publico em geral sejam eles pessoas fisicas ou juridicas 1 candidatarse a franquia preenchendo o formulario disponivel no site franquiaclubeturismocombr
2 preencher o formulario complementar enviado para o email do candidato
3 ser preaprovado na analise de documentacao
4 ser aprovado na entrevista realizada pelo setor de expansao da franqueadora  clube turismo
5 apresentar a documentacao necessaria requerida pela franqueadora para a abertura do cadastro do franqueado na modalidade de negocio escolhida
6 formalizar o contrato e efetuar o pagamento da taxa de adesao
7 seguir as instrucoes de implementacao da modalidade de escolha realizar os treinamentos iniciais e continuos  apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

  "
acium,5,https://franquias.portaldofranchising.com.br/franquia-acium/,oportunidade conheca a franquia acium no portal do franchising invista em um segmento em ampla expansao de mercado,90000.0,145000.0,12,50000,310.0,(11) 2391-8991,2,https://acium.com.br/pages/seja-um-franqueado?utm_source=portaldofranchising&utm_medium=minisite&utm_campaign=cata-franqueado,o perfil ideal sao pessoas dinamicas que gostem de vendas e que estejam dispostas a acompanhar o dia a dia de sua operacao ,a acium nao exige que o candidato tenha experiencia previa no segmento de varejo pois a franqueadora transfere todo o seu knowhow para o novo franqueado ,11,12489000000186,2,0,13/08/2010,4789001  comercio varejista de suvenires bijuterias e artesanatos,7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios,1,28/01/2022,de 3 a 4,de 6 a 10 m²,35000,112500.0,50000.0,R$500 RECEITA MENSAL (AJUSTE ANUAL),R$2.797 FIXO MENSAL (AJUSTE ANUAL)," apoio na escolha do ponto 
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja",2,1,"oportunidade conheca a franquia acium no portal do franchising invista em um segmento em ampla expansao de mercado o perfil ideal sao pessoas dinamicas que gostem de vendas e que estejam dispostas a acompanhar o dia a dia de sua operacao  a acium nao exige que o candidato tenha experiencia previa no segmento de varejo pois a franqueadora transfere todo o seu knowhow para o novo franqueado   apoio na escolha do ponto 
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 4789001  comercio varejista de suvenires bijuterias e artesanatos 7490104  atividades de intermediacao e agenciamento de servicos e negocios em geral exceto imobiliarios"
bibi,4,https://franquias.portaldofranchising.com.br/franquia-bibi-calcado-infantil/,acesse o portal do franchising e conheca a franquia bibi invista em um modelo de negocio divertido inovador e cheio de oportunidades saiba mais,430000.0,520000.0,18,80000,147.0,(51) 3512-3344,2,https://www.bibi.com/,"
 dinamismo lideranca e empreendedorismo

 comprometimento administrativo

 aptidao e desejo de participar de uma estrutura plenamente formatada

 sociabilidade e habilidade em se relacionar com pessoas

 conhecimento do mercado local e caracteristicas regionais

 dominio conceitual e pratico de principios empresariais

 administracao de recursos humanos financeiros e materiais

 familiaridade com vendas

 pro atividade reunindo capacidade analitica e poder de discernimento

 disponibilidade financeira para investir e reinvestir no negocio bibi

 comprometimento total na gestao da franquia","01 avaliacao cadastral e comprovacao financeira do candidato

02 visita ao candidato e apresentacao da franquia bibi

03 visita do candidato a sede da franqueadora

04 assinatura da cof circular de oferta de franquia

05 assinatura do contrato de franquia e entrega manual de implantacao bibi

06 prospeccao do ponto de venda

07 negociacao e avaliacao do ponto

08 planejamento e acompanhamento para inauguracao

09 capacitacao cultura bibi na sede da franqueadora

10 capacitacao da equipe inicial in loco na semana de inauguracao

11 inauguracao da loja

12 servicos continuados e periodicos de consultoria e apoio na gestao e operacao",7,97748958000105,2,0,03/08/1966,1531901  fabricacao de calcados de couro,4643501  comercio atacadista de calcados,1,03/11/2005,de 5 a 6,de 30 a 40 m²,80000,325000.0,50000.0,0% Não cobra,6% Sobre compras," apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

",1,3,"acesse o portal do franchising e conheca a franquia bibi invista em um modelo de negocio divertido inovador e cheio de oportunidades saiba mais 
 dinamismo lideranca e empreendedorismo

 comprometimento administrativo

 aptidao e desejo de participar de uma estrutura plenamente formatada

 sociabilidade e habilidade em se relacionar com pessoas

 conhecimento do mercado local e caracteristicas regionais

 dominio conceitual e pratico de principios empresariais

 administracao de recursos humanos financeiros e materiais

 familiaridade com vendas

 pro atividade reunindo capacidade analitica e poder de discernimento

 disponibilidade financeira para investir e reinvestir no negocio bibi

 comprometimento total na gestao da franquia 01 avaliacao cadastral e comprovacao financeira do candidato

02 visita ao candidato e apresentacao da franquia bibi

03 visita do candidato a sede da franqueadora

04 assinatura da cof circular de oferta de franquia

05 assinatura do contrato de franquia e entrega manual de implantacao bibi

06 prospeccao do ponto de venda

07 negociacao e avaliacao do ponto

08 planejamento e acompanhamento para inauguracao

09 capacitacao cultura bibi na sede da franqueadora

10 capacitacao da equipe inicial in loco na semana de inauguracao

11 inauguracao da loja

12 servicos continuados e periodicos de consultoria e apoio na gestao e operacao  apoio na escolha do ponto
 treinamento de colaboradores
 apoio de marketing
 apoio na negociacao com shoppings
 apoio na operacao da loja

 1531901  fabricacao de calcados de couro 4643501  comercio atacadista de calcados"
bluefit,10,https://franquias.portaldofranchising.com.br/franquia-bluefit/,acesse ja o portal do franchising e conheca a franquia bluefit uma rede de academias de ginastica aproveite essa excelente oportunidade de negocio,1280000.0,4430000.0,24,0,81.0,(11) 2391-9938,2,https://www.bluefit.com.br," lideranca e gestao depessoas

 habilidades para gestao  administrativa e financeira

 disponibilidade para gerir o negocio

 capacidade financeira comprovada

 capacidade para adaptacao ao  conceito bluefit

 aceitar criticas e sugestoes para  manutencao dos padroes bluefit","contato inicial
    recebimento da apresentacao da franquia
    envio da ficha de prequalificacao e documentos  solicitados pela franqueadora
    reuniao presencial
    estudo previo da localizacao de intencao
    recebimento e analise da cof  circular de oferta de franquia
    assinatura do precontrato de franquia
    implantacao da academia
    inauguracao da sua bluefit",11,24921465002944,0,0,17/07/2018,9313100  atividades de condicionamento fisico,7740300  gestao de ativos intangiveis naofinanceiros 6462000  holdings de instituicoes naofinanceiras,1,17/07/2018,de 20 a 30,de 1000 a 3000 m²,0,1650000.0,100000.0,1% sobre o faturamento bruto,8% sobre o faturamento bruto,"
conheca alguns termos importantes na hora de comprar sua franquia

royalties remuneracao do franqueador em contra partida a cessao e manutencao dos direitos da franquia ao franqueado

taxa de marketing tambem chamada de taxa de propaganda ou de publicidade ela e cobrada dos franqueados para que se forme um fundo a ser gerenciado pela franqueadora para uso em campanhas de divulgacao nacional regional ou local

cof  circular de oferta de franquia documento obrigatorio pela lei de franquias 8955 que contem todos os dados e informacoes necessarias para o candidato a franqueado poder analisar a oportunidade de investimento em determinada franquia

saiba tudo sobre o modelo de franquias para expandir negocios

",1,3,"acesse ja o portal do franchising e conheca a franquia bluefit uma rede de academias de ginastica aproveite essa excelente oportunidade de negocio  lideranca e gestao depessoas

 habilidades para gestao  administrativa e financeira

 disponibilidade para gerir o negocio

 capacidade financeira comprovada

 capacidade para adaptacao ao  conceito bluefit

 aceitar criticas e sugestoes para  manutencao dos padroes bluefit contato inicial
    recebimento da apresentacao da franquia
    envio da ficha de prequalificacao e documentos  solicitados pela franqueadora
    reuniao presencial
    estudo previo da localizacao de intencao
    recebimento e analise da cof  circular de oferta de franquia
    assinatura do precontrato de franquia
    implantacao da academia
    inauguracao da sua bluefit 
conheca alguns termos importantes na hora de comprar sua franquia

royalties remuneracao do franqueador em contra partida a cessao e manutencao dos direitos da franquia ao franqueado

taxa de marketing tambem chamada de taxa de propaganda ou de publicidade ela e cobrada dos franqueados para que se forme um fundo a ser gerenciado pela franqueadora para uso em campanhas de divulgacao nacional regional ou local

cof  circular de oferta de franquia documento obrigatorio pela lei de franquias 8955 que contem todos os dados e informacoes necessarias para o candidato a franqueado poder analisar a oportunidade de investimento em determinada franquia

saiba tudo sobre o modelo de franquias para expandir negocios

 9313100  atividades de condicionamento fisico 7740300  gestao de ativos intangiveis naofinanceiros 6462000  holdings de instituicoes naofinanceiras"
bioflora,6,https://franquias.portaldofranchising.com.br/franquia-bioflora/,acesse ja o portal do franchising e conheca a franquia bioflora rede de produtos naturais aproveite essa excelente oportunidade de negocio,23500.0,71000.0,5,12000,83.0,(17) 3305-7518,0,https://www.bioflora.com.br,"1  sexo ambos
2  idade minima 18 anos
3  escolaridade ensino fundamental completo
4 experiencia nao e necessario experiencia no ramo","1  identificacao com o mercado de produtos naturais 
2  identificacao com o sistema de vendas diretas  
3  capacidade de receber e aplicar as orientacoes da franqueadora 
4 persistencia para atingir objetivos 
5  habilidade em lidar com o publico
6  etica e espirito de parceria
7  dedicacao e comprometimento
8  dinamismo lideranca e empreendedorismo 
9  conhecimentos de administracao ",3,4002546000132,2,1,28/07/2000,4771702  comercio varejista de produtos farmaceuticos com manipulacao de formulas,4771703  comercio varejista de produtos farmaceuticos homeopaticos,1,03/11/2005,de 7 a 7,de 115 a 155 m²,60000,51750.0,40000.0,1%,4%, apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja,2,1,"acesse ja o portal do franchising e conheca a franquia bioflora rede de produtos naturais aproveite essa excelente oportunidade de negocio 1  sexo ambos
2  idade minima 18 anos
3  escolaridade ensino fundamental completo
4 experiencia nao e necessario experiencia no ramo 1  identificacao com o mercado de produtos naturais 
2  identificacao com o sistema de vendas diretas  
3  capacidade de receber e aplicar as orientacoes da franqueadora 
4 persistencia para atingir objetivos 
5  habilidade em lidar com o publico
6  etica e espirito de parceria
7  dedicacao e comprometimento
8  dinamismo lideranca e empreendedorismo 
9  conhecimentos de administracao   apoio na escolha do ponto  treinamento de colaboradores  apoio de marketing  apoio na negociacao com shoppings  apoio na operacao da loja 4771702  comercio varejista de produtos farmaceuticos com manipulacao de formulas 4771703  comercio varejista de produtos farmaceuticos homeopaticos"
